id,name,brand,price_vnd,tier,concentration,volume_ml,gender,family_primary,family_secondary,top_notes,heart_notes,base_notes,descriptors,use_cases,style_tags,popularity_score,size_variant_of
ysl-libre-edp,Libre EDP,YSL,3380000,2,EDP,50,feminine,floral,aromatic,bergamot|blackcurrant,lavender|orange blossom,ambergris|vanilla|cedarwood,floral|woody|musky,evening|special occasion|office,bold|free-spirited|confident,0.91,
ysl-libre-intense-edp,Libre Intense EDP,YSL,3380000,2,EDP,50,feminine,floral,woody,mandarin|lavender,orange blossom|lavender absolute,vanilla|cedarwood|amber,floral|woody|sweet,evening|special occasion,bold|confident|sensual,0.89,
ysl-myslf-edp,MYSLF EDP,YSL,2860000,2,EDP,50,masculine,aromatic,woody,bergamot|orange,cardamom|lavender,amberwood|cedarwood,woody|citrus|spicy,daily casual|office,modern|easy-going|effortless,0.84,
ysl-black-opium-edp,Black Opium EDP,YSL,3380000,2,EDP,50,feminine,gourmand,floral,pink pepper|orange blossom|pear,coffee|jasmine,vanilla|patchouli|cedarwood,gourmand|sweet|floral,evening|special occasion,edgy|bold|sensual,0.94,
ysl-la-nuit-de-lhomme-edt,La Nuit de l'Homme EDT,YSL,2860000,2,EDT,50,masculine,aromatic,woody,cardamom|bergamot,lavender|cedarwood|vetiver,tonka bean|carrot seed,woody|spicy|musky,evening|special occasion,mysterious|elegant|sensual,0.92,
dior-miss-dior-edt,Miss Dior EDT,Dior,3120000,2,EDT,50,feminine,floral,citrus,bergamot|pink pepper,damascus rose|lily of the valley,musk|patchouli|sandalwood,floral|fresh|citrus,daily casual|office,effortless|romantic|modern,0.88,
dior-sauvage-edt,Sauvage EDT,Dior,3380000,2,EDT,50,masculine,aromatic,woody,bergamot|pepper,sichuan pepper|lavender|pink pepper,ambroxan|cedarwood|labdanum,woody|fresh|spicy,daily casual|office,bold|effortless|confident,0.96,
dior-homme-intense-edp,Dior Homme Intense EDP,Dior,3380000,2,EDP,50,masculine,floral,woody,bergamot|lavender,iris|ambrette,cedarwood|vetiver|patchouli,floral|woody|powdery,evening|special occasion,elegant|mysterious|sophisticated,0.88,
dior-poison-girl-edp,Poison Girl EDP,Dior,3120000,2,EDP,50,feminine,floral,gourmand,bitter orange|pink pepper,rose|damascus rose,vanilla|benzyl benzoate|sandalwood,floral|sweet|spicy,evening|special occasion,bold|playful|sensual,0.85,
dior-fahrenheit-edt,Fahrenheit EDT,Dior,3120000,2,EDT,50,masculine,woody,leather,violet leaf|lavender|bergamot,honey|lily|caraway,leather|vetiver|amber,woody|leather|smoky,evening|special occasion,mysterious|vintage|bold,0.87,
gucci-flora-gorgeous-gardenia-edp,Flora Gorgeous Gardenia EDP,Gucci,3380000,2,EDP,50,feminine,floral,,red berries|pear,gardenia|frangipani,patchouli|brown sugar,floral|sweet|musky,daily casual|special occasion,playful|warm|romantic,0.87,
gucci-flora-gorgeous-jasmine-edp,Flora Gorgeous Jasmine EDP,Gucci,3380000,2,EDP,50,feminine,floral,,pear|bergamot,jasmine|frangipani|tuberose,sandalwood|musk|white amber,floral|musky|sweet,special occasion|evening,romantic|glamorous|warm,0.85,
gucci-bloom-edp,Bloom EDP,Gucci,3380000,2,EDP,50,feminine,floral,,white florals,jasmine|tuberose|rangoon creeper,mushroom|sandalwood|white musk,floral|musky|soft,daily casual|special occasion|office,romantic|soft|elegant,0.91,
gucci-guilty-pour-femme-edp,Guilty Pour Femme EDP,Gucci,3250000,2,EDP,50,feminine,floral,musky,mandarin|pink pepper,geranium|lilac,amber|patchouli,floral|musky|spicy,evening|special occasion,bold|sensual|modern,0.86,
gucci-guilty-absolute-pour-homme,Guilty Absolute EDP,Gucci,2990000,2,EDP,50,masculine,woody,leather,black pepper|olibanum,cypress|cedarwood,leather|patchouli,leather|woody|smoky,evening|special occasion,edgy|bold|confident,0.82,
chanel-allure-homme-sport-edt,Allure Homme Sport EDT,Chanel,3380000,2,EDT,50,masculine,aromatic,citrus,bergamot|orange|aldehydes,vetiver|cedarwood|white pepper,tonka bean|musk|sandalwood,fresh|citrus|woody,office|daily casual|outdoor / sporty,cool|effortless|confident,0.89,
valentino-donna-born-in-roma-edp,Donna Born in Roma EDP,Valentino,3380000,2,EDP,50,feminine,floral,gourmand,blackcurrant|bergamot,jasmine|rose,vanilla|sandalwood|vetiver,floral|sweet|woody,special occasion|evening,romantic|glamorous|modern,0.87,
valentino-uomo-born-in-roma-edp,Uomo Born in Roma EDP,Valentino,3120000,2,EDP,50,masculine,aromatic,woody,bergamot|ginger,lavender|vanilla,vetiver|guaiac wood,woody|spicy|musky,office|daily casual,confident|warm|modern,0.83,
mugler-alien-goddess-edp,Alien Goddess EDP,Mugler,3120000,2,EDP,50,feminine,floral,gourmand,bergamot|lemon,jasmine|cashmeran,tonka bean|sandalwood|vanilla,floral|sweet|woody,special occasion|evening,bold|mysterious|modern,0.88,
mugler-angel-edp,Angel EDP,Mugler,2860000,2,EDP,50,feminine,gourmand,,helional|melon,red berries|rose|jasmine,patchouli|caramel|vanilla|coumarin,gourmand|sweet|musky,evening|special occasion,bold|playful|sensual,0.89,
mugler-alien-edp,Alien EDP,Mugler,3120000,2,EDP,50,feminine,floral,woody,solar accord,jasmine sambac|cashmeran,white amber|sandalwood,floral|woody|musky,special occasion|evening,mysterious|bold|enigmatic,0.87,
ch-good-girl-edp,Good Girl EDP,Carolina Herrera,2990000,2,EDP,50,feminine,floral,gourmand,coffee|almond,jasmine|tuberose,tonka bean|cacao|sandalwood,floral|sweet|gourmand,evening|special occasion,sensual|bold|glamorous,0.91,
ch-bad-boy-edp,Bad Boy EDP,Carolina Herrera,2860000,2,EDP,50,masculine,woody,aromatic,bergamot|green sage,cedarwood|violet leaf,cacao|labdanum|sandalwood,woody|smoky|fresh,evening|daily casual,edgy|bold|cool,0.87,
ch-good-girl-blush-edt,Good Girl Blush EDT,Carolina Herrera,2600000,2,EDT,50,feminine,floral,musky,lemon|bergamot,jasmine|rose,musk|sandalwood,floral|fresh|musky,daily casual|special occasion,romantic|soft|modern,0.84,
armani-acqua-di-gio-edt,Acqua di Giò EDT,Giorgio Armani,2340000,2,EDT,50,masculine,aquatic,aromatic,bergamot|neroli|green tangerine,jasmine|rosemary|persimmon,cedarwood|patchouli|labdanum,aquatic|fresh|woody,daily casual|outdoor / sporty|office,effortless|cool|easy-going,0.94,
armani-acqua-di-gio-parfum,Acqua di Giò Parfum,Giorgio Armani,3250000,2,Parfum,50,masculine,aromatic,aquatic,bergamot|marine notes,rosemary|cypress|labdanum,patchouli|incense|vetiver,aquatic|woody|spicy,office|daily casual|special occasion,effortless|sophisticated|cool,0.93,
armani-si-edp,Sì EDP,Giorgio Armani,2990000,2,EDP,50,feminine,floral,musky,blackcurrant|bergamot,rose|freesia,musk|ambroxan|vanilla,floral|musky|sweet,office|daily casual|special occasion,elegant|confident|modern,0.9,
vr-flowerbomb-edp,Flowerbomb EDP,Viktor & Rolf,3120000,2,EDP,50,feminine,floral,gourmand,tea|bergamot|osmanthus,jasmine|rose|freesia|orchid,patchouli|musk|vanilla,floral|sweet|musky,special occasion|evening,romantic|glamorous|warm,0.93,
vr-spicebomb-extreme-edp,Spicebomb Extreme EDP,Viktor & Rolf,2860000,2,EDP,50,masculine,woody,spicy,black pepper|cinnamon,tobacco|oud,vanilla|leather|labdanum,spicy|woody|tobacco,evening|special occasion,bold|enigmatic|sensual,0.87,
jpg-scandal-edp,Scandal EDP,Jean Paul Gaultier,2860000,2,EDP,50,feminine,floral,gourmand,blood orange|gardenia,jasmine|honey,patchouli|caramel|amber,floral|sweet|musky,evening|special occasion,bold|sensual|glamorous,0.91,
jpg-so-scandal-edp,So Scandal EDP,Jean Paul Gaultier,3120000,2,EDP,50,feminine,floral,musky,mandarin|blackcurrant,tuberose|rose,honey|patchouli|musk,floral|musky|sweet,evening|special occasion,bold|sensual|glamorous,0.88,
dg-the-one-edp-man,The One EDP (Men),Dolce & Gabbana,2990000,2,EDP,50,masculine,woody,aromatic,grapefruit|coriander|basil,cardamom|orange blossom|ginger,amber|patchouli|musk,woody|spicy|musky,evening|special occasion,mysterious|warm|sophisticated,0.91,
dg-devotion-edp,Devotion EDP,Dolce & Gabbana,2990000,2,EDP,50,feminine,floral,gourmand,orange|bergamot,jasmine sambac|neroli,sandalwood|musk|orange blossom,floral|sweet|citrus,special occasion|daily casual,warm|romantic|elegant,0.87,
givenchy-linterdit-edp,L'Interdit EDP,Givenchy,3120000,2,EDP,50,feminine,floral,woody,bergamot|pear|orange,tuberose|jasmine,vetiver|patchouli|sandalwood,floral|woody|smoky,evening|special occasion,bold|mysterious|elegant,0.87,
givenchy-gentleman-society-edp,Gentleman Society EDP,Givenchy,2860000,2,EDP,50,masculine,aromatic,woody,bergamot|black pepper,iris|lavender|vetiver,tonka bean|amber,woody|spicy|iris,office|evening,elegant|sophisticated|confident,0.82,
bvlgari-man-in-black-edp,Man In Black EDP,Bvlgari,2730000,2,EDP,50,masculine,woody,spicy,tobacco|rum|black pepper,tuberose|iris,amber|sandalwood|leather,woody|spicy|tobacco,evening|special occasion,bold|enigmatic|sensual,0.87,
dg-light-blue-edt-woman,Light Blue EDT (Women),Dolce & Gabbana,2340000,2,EDT,50,feminine,citrus,floral,lemon|apple|cedarwood,jasmine|rose|bamboo,cedarwood|amber|musk,citrus|fresh|floral,daily casual|outdoor / sporty|travel,effortless|easy-going|modern,0.93,
dg-light-blue-edt-man,Light Blue Pour Homme EDT,Dolce & Gabbana,2340000,2,EDT,50,masculine,citrus,aromatic,mandarin|juniper|grapefruit,rosemary|pepper|rosewood,cedarwood|musk|incense,citrus|fresh|woody,daily casual|outdoor / sporty,effortless|cool|easy-going,0.9,
nr-for-her-edp,For Her EDP,Narciso Rodriguez,2860000,2,EDP,50,feminine,musky,floral,rose|magnolia,rose|muguet,musk|sandalwood|amber,musky|floral|soft,daily casual|office|special occasion,soft|minimal|sensual,0.91,
lancome-la-vie-est-belle-edp,La Vie Est Belle EDP,Lancôme,2860000,2,EDP,50,feminine,floral,gourmand,blackcurrant|pear,iris|jasmine|orange blossom,praline|vanilla|patchouli|tonka bean,floral|sweet|powdery,special occasion|daily casual,romantic|warm|glamorous,0.93,
pr-1million-edp,1 Million EDP,Paco Rabanne,2860000,2,EDP,50,masculine,woody,spicy,grapefruit|blood orange|mint,cinnamon|rose|spices,leather|amber|patchouli,spicy|woody|sweet,evening|special occasion,bold|sensual|confident,0.92,
pr-olympea-edp,Olympéa EDP,Paco Rabanne,2600000,2,EDP,50,feminine,floral,musky,mandarin|ginger,jasmine|sandalwood,white musk|vanilla|amber,floral|musky|sweet,daily casual|special occasion,bold|modern|sensual,0.88,
chanel-chance-eau-tendre-edp,Chance Eau Tendre EDP,Chanel,3510000,3,EDP,50,feminine,floral,citrus,grapefruit|quince,hyacinth|jasmine,white musk|iris|amber,floral|fresh|musky,daily casual|office|special occasion,effortless|soft|romantic,0.92,
chanel-chance-eau-fraiche-edt,Chance Eau Fraîche EDT,Chanel,3510000,3,EDT,50,feminine,citrus,floral,citrus|water hyacinth,jasmine|teak wood,white musk|iris|cedarwood,fresh|citrus|floral,daily casual|office,effortless|easy-going|modern,0.88,
chanel-no5-edp,No.5 EDP,Chanel,3900000,3,EDP,50,feminine,floral,powdery,aldehydes|bergamot|lemon,jasmine|rose|iris,sandalwood|vetiver|vanilla,floral|powdery|musky,special occasion|evening,elegant|sophisticated|glamorous,0.97,
chanel-coco-mademoiselle-edp,Coco Mademoiselle EDP,Chanel,3900000,3,EDP,50,feminine,floral,woody,orange|bergamot,jasmine|rose|ylang-ylang,patchouli|vetiver|vanilla,floral|woody|musky,office|evening|special occasion,confident|elegant|modern,0.95,
chanel-bleu-de-chanel-edp,Bleu de Chanel EDP,Chanel,3900000,3,EDP,50,masculine,woody,aromatic,citrus|mint|pink pepper,ginger|labdanum,sandalwood|patchouli|cedarwood,woody|fresh|spicy,office|daily casual|evening,confident|sophisticated|cool,0.96,
chanel-bleu-de-chanel-edt,Bleu de Chanel EDT,Chanel,3640000,3,EDT,50,masculine,aromatic,citrus,citrus|mint,ginger|labdanum|jasmine,white musk|sandalwood|cedarwood,fresh|citrus|woody,office|daily casual,effortless|confident|cool,0.93,
chanel-coco-mademoiselle-edt,Coco Mademoiselle EDT,Chanel,3640000,3,EDT,50,feminine,floral,citrus,orange|bergamot,rose|jasmine,patchouli|vetiver|musk,floral|fresh|citrus,daily casual|office,effortless|modern|elegant,0.91,
chanel-gabrielle-edp,Gabrielle EDP,Chanel,3900000,3,EDP,50,feminine,floral,,grapefruit|blackcurrant|mandarin,jasmine|ylang-ylang|orange blossom|tuberose,sandalwood|musk,floral|fresh|musky,daily casual|special occasion,effortless|modern|elegant,0.89,
dior-miss-dior-edp,Miss Dior EDP,Dior,3640000,3,EDP,50,feminine,floral,musky,blood orange|rose,damascus rose|peony,white musk|sandalwood,floral|musky|fresh,daily casual|special occasion|office,romantic|soft|elegant,0.93,
dior-sauvage-edp,Sauvage EDP,Dior,3770000,3,EDP,50,masculine,aromatic,woody,bergamot|sichuan pepper,lavender|geranium,ambroxan|sandalwood|vanilla,woody|spicy|fresh,office|daily casual|evening,bold|confident|effortless,0.98,
dior-jadore-edp,J'adore EDP,Dior,3640000,3,EDP,50,feminine,floral,,pear|melon,damascus rose|jasmine|ylang-ylang,sandalwood|blackberry,floral|powdery|sweet,special occasion|evening,glamorous|elegant|feminine,0.91,
dior-miss-dior-blooming-edt,Miss Dior Blooming Bouquet EDT,Dior,3380000,2,EDT,50,feminine,floral,,pink pepper|mandarin,damascus rose|peony|freesia,white musk,floral|fresh|soft,daily casual|office,effortless|soft|playful,0.88,
dior-homme-parfum,Dior Homme Parfum,Dior,3900000,3,Parfum,50,masculine,woody,aromatic,bergamot|lavender,iris|vetiver,leather|sandalwood|amber,woody|leather|iris,special occasion|evening,elegant|sophisticated|enigmatic,0.87,
prada-paradoxe-edp,Paradoxe EDP,Prada,3900000,3,EDP,50,feminine,floral,musky,bergamot|neroli,jasmine sambac|orange blossom,sandalwood|musk|amber,floral|musky|fresh,daily casual|office|special occasion,modern|confident|effortless,0.89,
prada-paradoxe-intense-edp,Paradoxe Intense EDP,Prada,4160000,3,EDP,50,feminine,floral,musky,bergamot|neroli,jasmine|orange blossom,sandalwood|amber|musk,floral|musky|sweet,special occasion|evening,bold|confident|sensual,0.87,
prada-luna-rossa-ocean-edp,Luna Rossa Ocean EDP,Prada,3770000,3,EDP,50,masculine,aromatic,aquatic,bergamot|iris,sage|labdanum,ambroxan|sandalwood,aquatic|fresh|woody,daily casual|office|outdoor / sporty,cool|effortless|minimal,0.85,
hermes-twilly-edp,Twilly d'Hermès EDP,Hermès,3900000,3,EDP,50,feminine,floral,,ginger,tuberose|rose,sandalwood,floral|spicy|woody,daily casual|special occasion,playful|elegant|warm,0.86,
hermes-terre-dhermes-edp,Terre d'Hermès EDP,Hermès,4160000,3,EDP,50,masculine,woody,citrus,grapefruit|orange,pepper|pelargonium,vetiver|benzoin|flint,woody|citrus|fresh,office|daily casual,grounded|minimal|sophisticated,0.91,
hermes-terre-dhermes-edt,Terre d'Hermès EDT,Hermès,3900000,3,EDT,50,masculine,citrus,woody,grapefruit|orange|flint,pepper|geranium|heather,vetiver|benzoin|cedarwood,citrus|woody|fresh,daily casual|office,grounded|effortless|cool,0.89,
hermes-h24-edp,H24 EDP,Hermès,3900000,3,EDP,50,masculine,aromatic,green,sage|narcissus,clary sage|rosewood,cedarwood|vetiver,green|woody|fresh,office|daily casual,minimal|cool|effortless,0.83,
hermes-jour-dhermes-edt,Jour d'Hermès EDT,Hermès,3770000,3,EDT,50,feminine,floral,,citrus|green notes,white florals|gardenia|peony,white musk|sandalwood,floral|fresh|musky,daily casual|office,effortless|soft|elegant,0.84,
jm-wood-sage-sea-salt,Wood Sage & Sea Salt,Jo Malone,4160000,3,Cologne,50,unisex,aromatic,aquatic,sea salt|ambrette,sage,driftwood,aquatic|woody|green,daily casual|outdoor / sporty|travel,effortless|free-spirited|cool,0.91,
jm-peony-blush-suede,Peony & Blush Suede,Jo Malone,4160000,3,Cologne,50,feminine,floral,musky,red apple,peony|jasmine|rose,suede,floral|musky|soft,daily casual|office|special occasion,romantic|soft|elegant,0.93,
jm-lime-basil-mandarin,Lime Basil & Mandarin,Jo Malone,4160000,3,Cologne,50,unisex,citrus,aromatic,lime|mandarin,basil|white thyme,vetiver|patchouli,citrus|green|fresh,daily casual|office|outdoor / sporty,effortless|easy-going|minimal,0.89,
jm-english-pear-freesia,English Pear & Freesia,Jo Malone,4160000,3,Cologne,50,feminine,floral,fruity,william pear|galbanum,freesia|rose water,amber|patchouli|musk,floral|fresh|sweet,daily casual|special occasion,effortless|soft|romantic,0.91,
jm-blackberry-bay,Blackberry & Bay,Jo Malone,4160000,3,Cologne,50,unisex,fruity,woody,blackberry|blackcurrant,bay|bramble,vetiver|patchouli|cedarwood,fruity|woody|green,daily casual|outdoor / sporty,free-spirited|easy-going|warm,0.87,
jm-nectarine-blossom-honey,Nectarine Blossom & Honey,Jo Malone,4160000,3,Cologne,50,feminine,fruity,floral,nectarine|blackcurrant,peach blossom|acacia honey,guaiac wood|vetiver,fruity|floral|sweet,daily casual|special occasion,playful|warm|easy-going,0.88,
jm-rose-white-musk,Rose & White Musk,Jo Malone,4160000,3,Cologne,50,feminine,floral,musky,bergamot,rose|peony,white musk|oakmoss,floral|musky|clean,daily casual|office,soft|romantic|minimal,0.87,
jm-velvet-rose-oud,Velvet Rose & Oud,Jo Malone,4680000,3,Cologne Intense,50,unisex,floral,woody,rose,oud|velvet,woods|musk,floral|oud|musky,special occasion|evening,mysterious|bold|sensual,0.85,
jm-dark-amber-ginger-lily,Dark Amber & Ginger Lily,Jo Malone,4160000,3,Cologne Intense,50,unisex,floral,woody,cardamom|pepper,ginger lily|jasmine,amber|sandalwood,floral|spicy|woody,evening|special occasion,warm|mysterious|sensual,0.86,
jm-bronze-wood-leather,Bronze Wood & Leather,Jo Malone,4680000,3,Cologne Intense,50,masculine,woody,leather,pimento,vetiver|leather,amber|musk,woody|leather|musky,evening|special occasion,mysterious|cool|sophisticated,0.84,
mmr-beach-walk,Replica Beach Walk,Maison Margiela,4550000,3,EDT,50,unisex,citrus,musky,bergamot|lemon|pink pepper,coconut|iris,white musk|sandalwood|cedarwood,citrus|fresh|musky,daily casual|outdoor / sporty|travel,effortless|easy-going|free-spirited,0.9,
mmr-jazz-club,Replica Jazz Club,Maison Margiela,4550000,3,EDT,50,unisex,woody,aromatic,rum|pink pepper|lemon,tobacco leaf|clary sage,vanilla|vetiver|musk,tobacco|woody|sweet,evening|special occasion,sophisticated|enigmatic|warm,0.91,
mmr-by-the-fireplace,Replica By the Fireplace,Maison Margiela,4550000,3,EDT,50,unisex,woody,gourmand,clove|pink pepper|orange,chestnut|guaiac wood,vanilla|musk|peru balsam,smoky|woody|sweet,evening|home-body,cozy|warm|introspective,0.89,
mmr-flower-market,Replica Flower Market,Maison Margiela,4550000,3,EDT,50,unisex,floral,,peony|green notes,rose|lily of the valley|freesia,white musk|cedarwood,floral|fresh|green,daily casual|office,effortless|soft|free-spirited,0.87,
mmr-sailing-day,Replica Sailing Day,Maison Margiela,4550000,3,EDT,50,unisex,aquatic,woody,lemon|sea salt,cedarwood|iris,ambroxan|sandalwood,aquatic|fresh|woody,outdoor / sporty|travel|daily casual,free-spirited|effortless|cool,0.86,
mmr-under-lemon-tree,Replica Under the Lemon Tree,Maison Margiela,4550000,3,EDT,50,unisex,citrus,floral,lemon|bergamot,basil|orange blossom,white musk|cedarwood,citrus|floral|fresh,daily casual|travel,effortless|easy-going|playful,0.85,
mmr-whispers-library,Replica Whispers in the Library,Maison Margiela,4550000,3,EDT,50,unisex,woody,aromatic,vetiver|iris,leather|cedarwood,patchouli|vanilla|musk,woody|leather|musky,office|daily casual,intellectual|introspective|sophisticated,0.86,
mmr-coffee-break,Replica Coffee Break,Maison Margiela,4550000,3,EDT,50,unisex,gourmand,woody,bergamot|musk,coffee|pink pepper,sandalwood|patchouli|vanilla,gourmand|woody|musky,daily casual|home-body,cozy|warm|introspective,0.87,
mmr-afternoon-swim,Replica Afternoon Swim,Maison Margiela,4550000,3,EDT,50,unisex,aquatic,musky,citrus|marine notes,chlorine|musk,white musk,aquatic|clean|fresh,outdoor / sporty|daily casual,effortless|cool|easy-going,0.84,
mmr-on-a-date,Replica On A Date,Maison Margiela,4550000,3,EDT,50,feminine,floral,musky,raspberry|peach,rose|patchouli,sandalwood|musk|vanilla,floral|sweet|musky,special occasion|evening,romantic|playful|sensual,0.87,
mmr-at-the-barbers,Replica At the Barber's,Maison Margiela,4550000,3,EDT,50,masculine,aromatic,woody,bergamot|lavender|rosewood,leather|suede,vetiver|musk,woody|fresh|clean,office|daily casual,minimal|effortless|cool,0.85,
mmr-spring-day,Replica Spring Day,Maison Margiela,4550000,3,EDT,50,feminine,floral,musky,bergamot|green notes,white flowers|magnolia,white musk|cedarwood,floral|fresh|musky,daily casual|office,soft|effortless|romantic,0.85,
byredo-gypsy-water,Gypsy Water,Byredo,4810000,3,EDP,50,unisex,woody,citrus,bergamot|lemon|pepper,incense|pine needles|orris,sandalwood|vanilla|amber,woody|fresh|musky,daily casual|outdoor / sporty,effortless|minimal|free-spirited,0.91,
byredo-bal-dafrique,Bal d'Afrique,Byredo,4810000,3,EDP,50,unisex,floral,musky,bergamot|african marigold|violet,neroli|jasmine|cyclamen,vetiver|cedarwood|musk|amber,floral|musky|fresh,special occasion|evening|daily casual,free-spirited|warm|glamorous,0.88,
byredo-mojave-ghost,Mojave Ghost,Byredo,4810000,3,EDP,50,unisex,woody,musky,magnolia|sapodilla,violet|ambrette,sandalwood|cedarwood|musk,woody|musky|floral,daily casual|office,minimal|cool|sophisticated,0.89,
byredo-blanche,Blanche,Byredo,4810000,3,EDP,50,feminine,floral,musky,pink pepper|aldehydes,rose|peony,sandalwood|musk,floral|musky|clean,daily casual|office,minimal|soft|effortless,0.88,
byredo-la-tulipe,La Tulipe,Byredo,4810000,3,EDP,50,feminine,floral,,cyclamen|stem,tulip|jasmine|gardenia,sandalwood|musk,floral|fresh|green,daily casual|special occasion,effortless|soft|romantic,0.85,
byredo-rose-of-no-mans-land,Rose Of No Man's Land,Byredo,4810000,3,EDP,50,unisex,floral,,pink pepper|raspberry blossom,turkish rose|papyrus,white amber|musk,floral|spicy|musky,special occasion|daily casual,romantic|bold|modern,0.87,
byredo-super-cedar,Super Cedar,Byredo,4810000,3,EDP,50,unisex,woody,,rose water,cedarwood|rose,vetiver|musk,woody|floral|clean,office|daily casual,minimal|grounded|cool,0.84,
byredo-black-saffron,Black Saffron,Byredo,4810000,3,EDP,50,unisex,woody,floral,juniper berry|black violet,saffron|vetiver|raspberry,leather|sandalwood,woody|spicy|leather,evening|special occasion,mysterious|edgy|enigmatic,0.86,
byredo-bibliotheque,Bibliothèque,Byredo,4810000,3,EDP,50,unisex,woody,floral,peach|plum,iris|peony|leather,vanilla|sandalwood|musk,woody|floral|sweet,office|daily casual,intellectual|sophisticated|warm,0.87,
byredo-mixed-emotions,Mixed Emotions,Byredo,4810000,3,EDP,50,unisex,aromatic,musky,pink pepper|neroli|grapefruit,jasmine|orris|cedarwood,sandalwood|musk,fresh|floral|musky,daily casual|office,effortless|modern|cool,0.83,
byredo-pulp,Pulp,Byredo,4810000,3,EDP,50,unisex,fruity,floral,blackcurrant|bergamot|cardamom,fig|red apple|tiare flower,praline|peach blossom|cedarwood,fruity|sweet|floral,daily casual|special occasion,playful|free-spirited|warm,0.84,
byredo-slow-dance,Slow Dance,Byredo,4810000,3,EDP,50,unisex,woody,gourmand,opoponax|cognac,labdanum|violet|geranium,vanilla|patchouli|incense,woody|sweet|musky,evening|special occasion,warm|romantic|sensual,0.86,
byredo-velvet-haze,Velvet Haze,Byredo,4810000,3,EDP,50,unisex,woody,floral,coconut|hibiscus|bergamot,patchouli|tuberose|osmanthus,patchouli|musk|cacao pod|ambrette,woody|musky|sweet,evening|special occasion,sensual|mysterious|warm,0.83,
byredo-tobacco-mandarin,Tobacco Mandarin,Byredo,7540000,4,EDP,50,unisex,woody,spicy,cumin|mandarin|coriander,tobacco|leather|labdanum,olibanum|oud|sandalwood,tobacco|woody|spicy,evening|special occasion,bold|mysterious|enigmatic,0.85,
diptyque-eau-rose-edp,Eau Rose EDP,Diptyque,4550000,3,EDP,50,feminine,floral,,lychee|peppercorn,rose|geranium,white musk|cedarwood,floral|fresh|musky,daily casual|special occasion,romantic|effortless|soft,0.86,
diptyque-tam-dao-edp,Tam Dao EDP,Diptyque,4550000,3,EDP,50,unisex,woody,,rosewood|cypress|myrtle,sandalwood|cedarwood,musk|white pepper,woody|musky|fresh,office|daily casual,minimal|grounded|introspective,0.88,
diptyque-philosykos-edp,Philosykos EDP,Diptyque,4550000,3,EDP,50,unisex,green,woody,fig leaf|green fig,fig tree bark,cedarwood|fig wood,green|woody|fresh,daily casual|outdoor / sporty,free-spirited|effortless|grounded,0.87,
diptyque-lombre-dans-leau,L'Ombre dans l'Eau,Diptyque,4550000,3,EDP,50,feminine,floral,green,blackcurrant leaves|citrus,rose|blackcurrant,cedarwood|green notes,floral|green|fresh,daily casual|outdoor / sporty,effortless|free-spirited|romantic,0.85,
diptyque-do-son-edp,Do Son EDP,Diptyque,4550000,3,EDP,50,feminine,floral,,mandarin,tuberose|jasmine|rose|violet,white musk|cedarwood,floral|musky|powdery,daily casual|special occasion,romantic|elegant|nostalgic,0.87,
diptyque-eau-capitale,Eau Capitale,Diptyque,4550000,3,EDP,50,feminine,floral,,bergamot|blackcurrant,centifolia rose|damascus rose,white musk|ambrette,floral|musky|fresh,daily casual|special occasion,romantic|effortless|elegant,0.86,
diptyque-vetyverio-edt,Vetyverio EDT,Diptyque,4550000,3,EDT,50,unisex,woody,,vetiver|grapefruit,geranium|vetiver|ginger,vetiver|patchouli,woody|fresh|citrus,office|daily casual,grounded|cool|minimal,0.84,
diptyque-eau-duelle-edp,Eau Duelle EDP,Diptyque,4550000,3,EDP,50,unisex,woody,spicy,black pepper|pink pepper,vanilla|orris,benzoin|musk,woody|spicy|sweet,evening|daily casual,warm|mysterious|enigmatic,0.83,
diptyque-florabellio-edt,Florabellio EDT,Diptyque,4550000,3,EDT,50,feminine,floral,aquatic,apple|dill|cyclamen,freesia|peony,musk|cedarwood|amberwood,floral|fresh|aquatic,daily casual|office,effortless|soft|easy-going,0.82,
